,content
29,沟通心理学与普遍的心理学有什么区别吗？        当我听了序言，我觉得裴老师的沟通心理学很有意思，很期待。但这与市面上普遍的心理学有什么区别吗？普遍的心理学，就是市面上，***心理学，**微表情等等，读起来更像是快餐，或者“毒鸡汤”，似懂非懂，又非常高大上。我记得我上上东家的老板，很推崇台湾张老师的心理系列，就有几句很有名的话“亲爱的，外面没有谁，只有你自己”“你想要的，都会来帮助你的”。起初觉得很有道理，有一次我工作带团队遇到问题，跟主管反应，他引用这本心理学的话，原话不记得，大概是说，没做好，一切皆是我的错，我应该反省。自从那以后，我就没有碰那个系列的书。其实，我很认同老师的，每个人懂生活的人，都可能是心理学家。
30,爱情心理学是生理心理学的范畴吧
31,拖沓情结   听了课之后发现自己真的是超级拖沓了，每次做事情钱都会纠结好久好久，总是在担心要是结果很坏会怎么办，中途会遇到哪些问题，没有勇气去做，希望今天听了课之后不要在犹豫，趁着青春年华 做自己想做的事。
32,强迫症    强迫性与内疚的强迫性一样吗？
33,见诸行动等于心里有创伤？   我听着听着就觉得发生见诸行动的行为，是因为你对他见诸行动行为这个人与当初在你心里留下创伤或是有阴影，从而导致了你对行为相同的另外一个人而引发的一系列见诸行动？
34,我感觉这门课很难懂 有没有人有技巧的 感觉专业性很强 没有一定的基础很难掌握
35,同性恋    老师，我身边有一个好朋友(男)，最近恋爱了，对方却也是男生，而且是网上认识的。我很想让他变回异性恋，老师，我这样的想法对嘛？会不会伤害到他呢？
36,寻找对手者应该找一个怎么样的伴侣？
37,曾经跟他争执，是因为他的行为伤了我，我说出来是因为想让他知道，可以对我好一些。但是他觉得我说话伤心，还有觉得认知上不同就分开了
38,吵架很正常，未必不吵就是不爱
39,心身陷阱   大学生实习是为了学习专业技能，琐碎工作不值得，这种观点对吗？
40,怎么样和双标的人相处？    我觉得在集体生活中，大家都是相互的，但是最近有个舍友就把话说得很满，然后就要求我们其他人要做到，但是她自己不遵守她所提出来的东西。并且她还自己在外面不顺心，回来就大呼小叫，给大家脸色看，后来解释的时候也并没有觉得自己有错，好像大家都欠她的，一定要对她很好一样，但是她自己就只把其他人当舍友，却要求别人把她当好朋友！！！想问问大家，怎么看?
41,沟通在个人和群体之间心理学运用的差异会不会比较大？  相信我们很多人有很多时候面临的是一个群体，而人在群体之中的时候，心里状态和平时的自己是有很大差异的。一群人有可能是“乌合之众”，也有可能开诚布公，精诚合作。所以我想知道，如何去把握心理学在个人沟通和群体交流方面的差异。
42,异地恋    不在一起的两个人，触摸不到，感受不到，怎样能把爱情保险那
43,为什么表达都有代价，只有代价才能有存在感呢？感觉不能理解
44,青少年情绪  虽然懂的青少年情绪“动荡起伏”，但是现实中实施起来困难，怎么沟通很难做的最好
45,和一个相对偏执的人沟通，需要注意些什么
46,关于心里内疚 有人认为男生比女生更容易内疚，但有的人认识相反，如何看待？
47,我觉得女人内疚的情况比男人多。
48,什么情况算是男生和女生谈恋爱 一个男生和一个女生牵手，搂在一起什么的？要是异地恋如何维持？
49,日常交流问题 平时有空闲的时候，同事总会俩一起聊下天，可是我还是喜欢一个人呆着。有时候为了不让别人觉得我不合群，特意去跟人家聊天，可是聊了两句我就聊不下去了，因为感觉无话可说了，这是什么情况呢？
50,男人爱唠叨也是因为运动口腔缓解焦虑吗？    有的男人也很喜欢唠唠叨叨，非常爱说话，有时候感觉说话都不经大脑，就是为了说话而说话，这是不是也是通过运动口腔来缓解压力的方式。如果是的话，以后遇见这样的人就能从心里理解并接纳了。
51,我总是有种不安感，甚至现在上了大学也是这样，这是心理疾病吗？
52,老师您好，有个问题希望老师解惑    大家聚一起聊天时，怎样才能让自己提出的话题调动大家的参与性呢？
53,纠结 老师说，所有的纠结背后都蕴藏着一个你能解决所有问题的方法。我不明白。
54,看心理医生是件丢人的事吗？  有朋友在看心理医生，于是周围的人就有种偏见，似乎心理有欠缺就不能正常交流一样，接触也都小心翼翼的。不知道大家怎么看？
55,家里人争吵不休怎么办 我妈妈和大伯母经常会因为一些小问题而大吵大闹，怎么劝都没用，实在不知道怎么搞……
56,如何控制冲动 人们常说“冲动是魔鬼”，我觉得很有道理，为了避免由于冲动造成的伤害或者是不良后果，我们应该学会控制自己的情绪，或者转移注意力，这样就能控制冲动了。
57,我孩子在班里总有一种“巨大的优越感”，这种自恋是不是健康的？ 我孩子今年上一年级，在跟老师交流时，老师的评价中有这么一句，“这孩子因为认识的字比其他孩子都要多，所以在课堂上回答问题时总有一种巨大的优越感”，我担心孩子的这种自恋会影响以后的学习，应该怎么处理好？
58,老师，我觉得我有处女情结怎么办？   我不在乎她的处女膜是不是完整，但是我比较关注她在我之前是不是与其他异性发生过性关系
59,如果是和一个长相普通甚至长的有些丑的男生在一起，就认为这个女生被骗了
60,学习沟通心理学，希望对自己以后和他人的交流和沟通少些障碍。
61,后来复联，他说你可能变了，意思我比以前好很多了，，但是我一直没有变，可能是因为一些文化差异，年纪差异，经历差异，还有他其实是一个说什么就什么的人，其实我很好相处，唯独跟他他总跟我较真，非要说过我，都是我喊停不愿意继续让大家不愉快的话题。
62,有时候你做的很好，对方有可能视而不见 裴老师的课很有意思，很喜欢，粉了粉了。
63,明白，却不改，还发病？？   有人在别人的第一映像就是在不断的攻击别人，不考虑别人的感受，自顾自的以别人的短来刷自己的存在感，还会说“我很久以前就知道自己不会说话”但却从来没有改进，而且对谁都有先入为主的观念，喜欢单方面思考，一点不满就耍横(⊙＿⊙)
64,绪言 学习心理学的目的是什么
65,异地恋    如何来维系异地恋，时时刻刻感受到恋人在自己身边？
66,关于老师课件一个自恋的举例  课件最后女生 其实是自恋吗，有没有可能是比较没有主见？
67,小怪癖    我喜欢考试，很多人不理解。一开始我会跟别人解释，我是喜欢用考试来激励自己学习，现在我已经不解释了(灬ºωº灬)做人呢，在不伤害和侵犯他人的情况下，开心就好。大家都有什么小怪癖呢？一起交流下吧
68,谈恋爱一直放不开怎么办
69,沟通心理学，它可以认为是沟通和心理两种的结合么？   我认为同样重要吧，既要有自己的沟通能力，也要有心理上面的强大，不然只会是使自己冷漠。
70,结合视频和自身体验，谈谈你认为怎样才能更好地避免冲突和误解。
71,文化背景是否会对感知同一音乐所表现的情绪出现巨大的差异？   文化背景是否会对感知同一音乐所表现的情绪出现巨大的差异？
72,怎样才算是有情商的与他人交流 有时候说话，要么找不到主题，要么说个一两句也可以说是敷衍两句就结束了。怎么避免这种情况呢
73,四种人格，各自适合什么行业没明白，望解答
74,心身陷阱是不是跟性感也有一定的关系？内心型比外向型更容易出现
75,老师讲的的太对了，不过生活中也有这种人存在  在现实生活中像我因为逻辑思维智慧不及别人而采用无力进行攻击，从而达到让人屈服的目的，但是我发现在生活当中依然存在一类人，他们不仅希望在逻辑上战胜对方，而且要在无力上让别人屈服，我觉得这样的人有点可怕
76,老师，适度自恋对人的发展是有宜的，若一个人不爱自己，低自尊  如何构建自恋，改变这种由成长和自己思维方式而导致的低自尊，最后变得更自信呢？
77,原来喜欢的人喜欢上自己之后总是觉得不那么喜欢他了，是为什么呢
78,一辈子，谈一次恋爱就结婚好吗?    一辈子，一个人，谈一次恋爱，结一次婚，这样好吗？
79,青春期异性之间的沟通障碍是一种心理问题吗？
80,交往恐惧症  在熟悉的人面前，可以侃侃而谈，一遇到不熟悉的人，在一起交谈就插不上嘴，见到陌生人，就是无话可说，有时感到场面尴尬，想打破尴尬局面，说几句话缓和气氛，轻松一下，却不知说什么，老师，我怎么克服这种情况呢？
81,和朋友沟通总是很容易，但是和家人沟通却很难，怎么改变！
82,表现力    有些事情想做，但又不敢冲在最前方，而是躲在第二位，是表现力不够，还是主人翁意识不够强?
83,孤独感    每个人都会存在孤独的时候，而这个时候我们是需要朋友的关心和呵护还是自己一个人关在房间看电视和听歌、写作呢？而我是喜欢看电视和听歌的，你们呢？
84,第三课    课里说男人忘不了初恋，难道女人就可以吗？
85,自卑 为什么为了别人而调整自己，就是对自卑的一种补偿呢
86,关于自运行系统与攻击无意识          老师您好，我想请问，是否自运行系统产生的行为目的仅仅是缓解压力，而非应激保护自己，自运行系统下的行为是否没有攻击性？这是自运行系统与防御系统的区别吗？
87,老师，可不可以这样理解：过分承担责任就是温柔的陷阱？老师上课出现问题到底应不应该提？ 有一次有一位同学以一种非常委婉的口气在我们老师建立的QQ群中提出了老师上课时的不足，并给出了他自己的建议。但是，他一下子就被一群同学谴责了，大致都是在道德水准上谴责的话语。而后管理员开启了短暂的全体禁言，还把一些话给撤回了。虽然这个同学在提建议是匿名比较欠妥，但是，问题本身并没有错，老师上课时也存在这个问题，最讽刺的是，那些叫嚣的同学还有相当一部分因为不适应老师的风格而选择了上课不听讲。那么为什么会出现这种情况呢？明明是双赢的局面，为什么会出现这么多不了解真相却自诩道德的人呢？老师上课出现问题到底应不应该提出来，如果应该，又该怎么提呢？希望能够给一个迷茫的人一个答案，谢谢各位了！
88,心理学知识的实际应用，可操作性的大小。    心理学知识的实际可运用性依据每个人的性格的不同而存在很大的差异，怎么准确判断一个人的行为所反映的心理活动难度有高低。
89,身边的单身人士都有什么特质
90,完美主义者  完美主义者适合什么工作？
91,学校教育做到位了，犯罪是否就没有了，或者会少很多呢？ 作为上班二十年的安徽农村小学老师，感觉只要各级各类学校的教育，尤其是在道德法治教育方面，工作做的扎实了。犯罪就会少很多呢？要不然我们习近平总书记也不会，在学校思想政治工作会议做重要指示了吧！欢迎讨论。谢谢！
92,成功应该具备的良好的心理素质
93,我不会交流  老师，我喜欢一个女孩，但每次见她我嘴巴打了结一样，最近她心情不好，我完全不懂得怎么去安慰她，而且我每次出现反而加剧她的负面情绪，我是不是不应该出现？
94,人与人之间的比较   不想跟别人比，可是总是忍不住。觉得自己什么都不如别人，能力这么差。自卑感呀。。。
95,沟通，不止于语言。    对裴老师这门课很感兴趣的原因在于课程题目中“沟通”两个字。回顾一下我们的日常生活，一定会有这样的时刻，真正说服我们或者让我们确信对方不真诚的原因，可能是一个眼神、一系列动作或者一种难以精确描述的语气，而非会话内容本身。我想这就是的沟通超越于对话本身。选择了解这门课更多地是为了能够了解沟通心理学，采用沟通心理学去正确地指导自己，如何高效“沟通”，特别是注意那些communication中超越了conversation的部分。
96,我们的未来是否可以通过自己努力去改变 我们的未来是否可以通过自己努力去改变
97,拒绝谈恋爱，是不是一种自我保护意识？
98,老师，治疗自闭症，多大年龄开始效果最好？
99,一个人的价值观是怎么形成的? 老师，您好！一个人的价值观是怎么形成的？它受哪些因素的影响？个人如何塑造健康积极的价值观？
100,老师，如何把握学生的心里动态
101,自我怀疑   才20出头就对生活没什么追求，刚工作不到一年，教师生涯一眼望到底，没有野心，一切都无所谓， 每天浑浑噩噩过日子，我是不是没救了呜呜
102,害怕被推卸责任的情况 我就是比较怕别人推卸责任，所以有时候别人问我一些什么问题，我一般都会回答不知道，不清楚，即使有时候我是知道一点，但我怕说错误导别人或是被别人推卸责任，我就会说不知道，不清楚，但我也会适当给些建议。所以这样就慢慢形成了我的不自信，有时候经过自己的分析知道确切的答案，也不敢坚定自我，相信自己。
103,关于研究本能 PPT里面的隔离是什么意思呢？
104,18岁的迷茫 老师，喜欢是什么感觉呢？为什么我感觉没有勇气去爱呢？
105,迷茫 身边的朋友脱单的脱单，不脱单的心里也都有喜欢的人，而我，一个心仪的对象都没有，感觉很迷茫，没有归属感，不知道该怎么办……
106,强迫症会拖沓吗？   老师，我有一些强迫症，会希望一直保持屋内的干净，看几脏东西就想打扫，有时候一天会拖地三四遍；东西按顺序和位置摆，睡觉前一定要把沙发和桌上放乱的东西回归原处，即使觉得很累也要强迫自己完成，不过在其他事情上（学习、锻炼…）能拖则拖，即使内心一直被预见的后果所折磨但就是不会立即付诸于行动，感觉有些舍本逐末，请问该如何去调试这种心理呢？
107,和同个实验室的同学闹互相看不顺眼，热吵加冷战，简直无解。   前次热吵，那个同学攻击我说你是被害妄想症吧。 巧的很，我其实很早就觉得她才是个被害妄想症，包括我无心的举动都被她理解为要害她。她还脾气暴躁。我超级讨厌这种动不动就情绪化大声吵架的乌眼鸡一样的女人。我很久就在行动上避着她了。上次她居然说惹不起我躲得起。excuse me？这句话我说才对吧。我不想和她吵架，因为她一吵架就人身攻击而不是就事论事。 现在冷战，但是一说话就肯定吵架。她不服我，同样我也讨厌她。
108,很多都是这样，只有经历，感悟呢？知识点呢？  大部分都是跟这个差不多，有的无非是经历再写多点，看不到感悟，知识点，最后来了一句后悔，这2个字不能算感悟吧，所以，基本都10~15分，但凡3个要素差不多，就15分以上，是我要求太严了？
109,自信可以使人变漂亮  只要你有足够的自信心，自身散发出光芒和气场也不一样
110,分情况的拖沓心理怎么解决   日常生活中经常有外界对个人的各种各样的任务，但我总喜欢在任务快要截至时才迅速的将任务完成，但是我也喜欢自己给自己设置一些任务，但不同的是，这种自我的设定，我就要积极很多，有什么好方法解决前面的拖沓心理呢？
111,容器 关键时刻.彼此能够看到外面的未来，如何理解？
112,怎样看待颜值控？颜值控怎么在理想与现实中找到结合点？
113,脸皮越来越薄了，咋办
114,如何引导学生正确认识早恋问题
115,不太分析别人是不是也正常？  老师，听了第一课收获颇丰，也开启了思路，老师提到野蛮分析，感觉深以为然，但我的问题是平时不太分析别人怎么想，一味做自己的事情，有点两耳不闻窗外事，一心只求做自己，是不是也不合适呀？
116,并不完美的性，是人生的遗憾吧？
117,朋友说我回复敷衍   朋友说我回复敷衍，可他说的话确实让我没什么特别想说的，只能回一些通用的网络词汇，比如有毒!哈哈!魔性!
118,有时候受到伤害我们应该提出来吗？   长时间和朋友待在一起 无关急要的事情都依着她 可是一天我真的觉得有些事情不能忍让 她却生气了 好像在等我道歉一样 我很生气又不想失去这么以为好友 我应该去道歉挽留吗？
119,怎么样才算成功，什么是成功  成功有什么定义？不成功的人该怎么办
120,你担心自己的资料被心理咨询师泄露吗？ 结合视频内容和你自身的体验，谈谈你会担心自己接受咨询后，你的信息被咨询师泄露吗？为什么？
121,单身这件事  单身久了，有时候会觉得一个人其实挺好的，能吃能睡能跑能跳能玩能闹，挺自由自在的，若是突然出现一个人在身边，反而会不习惯，需要慢慢接受。曾听到有人说，我一个人好好的，要是让一个比比我还差的人出现在我的生活里，岂不是自己给自己添堵。确实是，女生经济越来越独立了，择偶的话眼光也会高一些。门当户对也是有道理的。现在的门当户对不仅仅是古代那种狭隘的解释了，更多的是现在人们常说的三观一致。
122,选择性客体到底是什么 裴老师，选择性客体，我听了三遍，你在举不同例子的时候，解释的选择性客体，我理解是有差异的。关于妈妈的例子，选择性客体就是留在孩子心里的好妈妈的物体影像和坏妈妈的物体影像。在谈到关于撒旦和上帝造人时，说撒旦造的一半好人和上帝造的一般坏人合成一个人，这时候，选择性客体就是具备好坏两方面的平衡的人。俩例子的结束语，明显不一样。所以，本来该是认识对象的客体，我找不着了，选择性的意义我也不明白了！
123,给予与想要  我想要的他不给，他给我不是我想要的，甚至他还会强加他的观念给我，不能接受，就分了
124,如何防御见诸行动   如果我一不小心打扰了别人，别人就有了见诸行为伤害了我，那我在想如果下一次别人这样对我，我怎么才能避免我的见诸行为伤害别人？
125,关于书籍推介 吴老师您好:听完您的阿德勒--自卑与超越理论，我很有感触，首次悟到人生的意义在于服务他人的道理是在哲学得学习过程中，这一道理对我的管理工作及为人处事有极大转变提升，我的问题是您能否推介一本您所认为的最应该读的他的书籍呢？谢谢您
126,请问老师，对于课程中的很多专有名词，如何才能更好的记忆呢？  就是在听课的时候，能够理解和接受，但是在做题的时候或者回到生活中的时候，印象中的道理还在，只是对于很多专有名词却不那么清晰了，老师有什么好的方法吗？不然感觉自己学过后，还是蜻蜓点水没有更好的掌握。谢谢
127,自恋心理背后的因素  自恋是一种心理状态，而一种心理状态的产生往往与多方面的因素有关。例如，一个长期压抑的人在发现自己一个独特的优点时，会对这个优点产生依赖，过度重视，在其方面会有优越感，从而产生一种根基不稳的自信，若是在这种情况下产生自恋心理，一旦这种优势被打破，可能对一个人产生难以恢复的打击。私以为公主病就是自恋的一种状态，长期在他人的吹捧中成长，很容易产生周围人以自己为中心的想法，这种长期潜移默化的影响形成的结果又是否是一定的呢？若与其他不娇气的“公主”比较，中间的差别又在哪里？
128,心理焦虑如何引导   我有一个学生，现在在我的岗位下面实习，每天下午四点以后总想结束工作、做什么事都会出现了心慌焦虑、心不在焉。让学习数学和一些英语的软件和文件时总想逃避，做为老师我已经改怎么做？
129,心情 我现在在学校里是三个人一起走，一开始完全没问题，但随着时间，自己心里越来越不开心，也不知道为什么也说不出来，要说不愿意也没有，要说不舒服还说不出来不知道该怎么办，就是不愿意理人
130,心理上应如何克服见诸行动   老师，您好，在我学习的时候，一有声音我心里就很不舒服，就是受不了别人发出的各种声音，以至于我学习效率很低，我努力克服就是克服不了。
131,如何解决由防御机制导致的无意识攻击
132,论：沟通心理学的重要性。   向来情深留不住，自古套路得人心。情商高的人与沟通心理学有什么关系？沟通心理学可以让我们的婚姻更幸福吗？可以让我们收获一些什么呢？
133,有没有第一眼见到就不喜欢的人 我在刚上高中没分班时侯，见到一个第一眼就不喜欢的人。不知道为什么。（我跟她就对视一眼，从来没见过）现在还记得她的脸。还是不喜欢，很奇怪的感觉。
134,给孩子订目标，做不到，我该如何沟通？
135,观点 渣男的套路是防不完的，老师所讲的这些都是一些具体的技巧（也就是术），而术是无穷的，只有授道（让女生有思维能力，探究渣男的本质目的），才能根本解决问题！
136,气质与平常说的“脾气”相近，是个人生来就具有的心理活动的动力特征。是先天的，主要体现为个体早期神经类型的自然表现，与行为活动无关，无好坏善恶之分。变化慢，可塑性小。
137,“你不配”导致的拖沓 因为身边人一直提醒“认清你是谁？”，所以行动中也会受到潜意识影响，在自己配和不配享受更美好的生活之中徘徊，因而导致拖沓。该怎么解决呢？
138,关于家庭暴力 家庭暴力不是属于一种占有，控制力的体现吗？我觉得你是我的，所以我就可以为所欲为的进行能表现你是我的，我控制着你的各种行为。我认为是这样的。所以家暴这种行为我非常非常厌恶加痛恨的。
139,强迫症影响到正常人际交往   我比较悲观，做事总要力求完美，对自己苛刻对他人也一样，总是一眼看到别人的缺点和不足。还总是提出来，自己又太在意别人对自己的评价，每天活得很累，感觉自己就是多重人格，把自己和家人都弄的紧张兮兮的。该怎么改变自己呢？
140,表达误区怎么办？   如果在沟通的时候能够理解对方的话，但将对方的话转述过去的时候，对方觉得自己不理解，并就此不断做澄清。或者有时候自己表达并没有那个意思，却被误解为负面的表达，引用别人的一句话就是“和你沟通就会引起我的怒火”或者被别人说好讲道理，重复啰嗦等话语。或者自认为表达无误，但总被别人认为表达有误，这些问题该怎么解决？
141,提问 两个人性格互补好还是相似好？
142,如果潜意识认为自己头疼，所以很头疼该怎么解决 因为有鼻窦炎刚开始确实很头疼，但是这一天下来，不知道为什么从潜意识中认为自己很头疼，结果头疼了一天。明明想挣扎出来，却不知道怎么挣扎出来，因为中午潜意识认为吃雪糕头不疼，结果吃雪糕的时候头真的不疼。请问老师有没有一种方法能解放出来。
143,异地恋。。怎么搞啊？打着电话找不到话题了
144,有的同学总是看不起别人，总是每天讲别人坏话，这个心理？
145,谁欠了谁的钱呀    不是说对方欠我的吗？后面又说“你的钱我可能还不上了”？
146,学习如何与自己沟通，比学习如何与他人的沟通更重要吧？
147,大学里的社交，有时候感觉很浪费时间，怎样才算合适的社交?
148,关于掉渣王  老师我想问下掉渣王是取自哪的素材，我想听听他唱的啥
149,我是一个理工男，之前选这门课是抱着学一点脱单技巧的，在学习了前面几个课时的内容后，我觉得，提升自己远比什么都重要，所以我就渐渐的把精力放在自己专业的学习上了，渐渐地，发现自己原来喜欢的那个女生其实没有一点我喜欢的点，原来自己之前只是在强迫自己喜欢而已，找到喜欢的人，得先明白自己喜欢的是什么，性格啊、价值观啊、成长历程啊，要一一契合真的很难。
150,太在意一些东西    有时候明明想通了一些东西，然后过一段时间莫名其妙的想起来，又想不通了。如此循环，是怎么回事？
151,感觉，靠谱么么    总觉得，感觉，看不见摸不着的，而且很主观，不知道感觉靠谱不？
152,人可以貌相 我觉得说的在理  气质长在脸上，一个人的表情往往能暴露他的人生密码，我们可以通过后天的培养，来磨练自己的内心。
153,不是说，搭讪避免讨论自身吗  我那个题目八分，我也是服了自己的智商，倒回去又看了一次，还是错了？我是有多蠢？
154,晓文老师，如何可以让自己变得不入群一点？
155,老师 你好 如何提高智商或情商因为我做啥事都对自已没信息
156,日常应该怎样排解由工作和学习带来的压力
157,怎么理解相爱的两个人结婚后感情破裂？ 感情破裂定义：1级：失去对对方的兴趣，2级：甚至觉得自己当初和这个人在一起是愚蠢的行为，为此懊悔。3级：心中开始计划离婚、出轨，4级：联系律师并制定离婚出轨的最小经济损失策略5级：在伤害对方时感觉到快感
158,问题有很多，自己的问题也很多。可是我还是很希望能把这份感情变得健康变得长久，更希望的是让自己的心理变得健康，让自己能够控制自己的情绪。期待老师的回答。
159,爱好 和对象爱好不一样，他爱打游戏，我爱看书，他特别宅，我特别喜欢出去游玩，这就很尴尬了
160,能和男生成为兄弟吗？男女之间有纯友谊吗？   有一个男性朋友，认识的时候并不知道他有女朋友，我表现的貌似有点热情，因为觉得他很好相处。后来知道他有女朋友之后，总觉得相处起来很别扭。现在不是一个学校的，下学期要去他们学校了，哎，觉得会很不自在。他说做兄弟，我其实挺怀疑的，男女之间会有纯友谊吗？能成为兄弟吗？这样的男女距离要怎么保持？
161,做到与人心心相惜   老师怎样才能像你一样那么牛摆
162,和新交的女友说未来，她却说只谈个经验。    她说有很多变数，不要我说那些太长远的话，现在谈就互相尊重，互相珍惜这样的。怎么回事，有这么不想未来的女友啊
163,情绪 没有学习情商课程前，还是管理不太好自己的情绪，情绪突然间就会变查，自己也不知怎么回事就直接爆发
164,同理心    发现在工作中，把同理心用在客户身上，却没有放在同事关系处理中……总是要求同事要换位思考处事，自己却没在要求自己做到在同事关系中的同理心，这就是为什么在公司让人畏惧，却没有朋友的原因吧：（
165,你们真的相信星座适配吗？   你们真的相信星座适配吗？别人对你的星座有什么误解？我是摩羯座偏风向星座，我喜欢一个人会真的很喜欢，但一定会先确认他是否也喜欢我。我们不高冷！我们不高冷！我们不高冷！
166,对方不喜欢你适合缠着人家嘛？？？
167,关于流言   我觉得流言有时候会推动以个集体的发展，对不对？
