,content
11,你是否主张过消费欺诈惩罚性赔偿？遇到了哪些问题？   你是否主张过消费欺诈惩罚性赔偿？遇到了哪些问题？你是否主张过消费欺诈惩罚性赔偿？遇到了哪些问题？你觉得法律法规或者执法机关还应该做些什么？
12,职务作品的范围    学生交的毕业论文被核心期刊录用，学校可否主张“职务作品”，要求在两年内分得稿费？
13,如果签署的是发起人协议还不能确认其发起人资格吗    老师，我看到发起人定义中写签署公司章程、认缴出资、履行义务的是发起人，那么如果仅仅签署发起人协议而尚未签署公司章程，此时还不能确认其发起人资格吗？谢谢老师
14,下列关于刑事案件级别管辖的说法，错误的有A.恐怖活动犯罪案件均由中级人民法院一审B.恐怖活动犯罪案件，如果犯罪情节较轻，社会危害性不大，可以由基层人民法院管辖C.中级人民法院受理后发现基层法院移送的可能判处死刑的案件不需要判处死刑的，应当依法审判，不再交基层人民法院审判D.管辖权的变通既可以是“从下往上”，也可以是“从上往下”
15,已经入住的酒店是否可以退住？ 2016年5月1日，小红在美团上看到一家酒店评价很好，就在此预定了一间房，并在线上付款，于2016年5月2日晚上入住，但晚上因为酒店隔音太差，外面有施工的声音，小红认为商家违约，于是他决定退住，但是商家以已经入住为由拒绝退款，请问他应该如何维权？
16,"计算机软件著作权保护案例讨论 原告北京某公司自主开发了精雕雕刻系统,该系统由精雕雕刻JDPaint软件、精雕数控系统、机械本体三大部分组成，JDPaint软件通过加工编程计算机运行生成Eng格式的数据文件,再由运行于数控控制计算机上的控制软件接收该数据文件,将其变成加工指令｡原告对上述JDPaint软件享有著作权,该软件不公开对外销售,只配备在自主生产的数控雕刻机上使用，并对Eng格式采取了加密措施。被告上海某公司开发､销售能够读取Eng格式数据文件的数控系统,使得其他数控雕刻机能够非法接收Eng文件。原告对被告的行为提起了侵权之诉。法院一审二审均驳回了原告的诉讼请求。同学们讨论一下本案的焦点问题：1､从判决结果看,原告的JDPaint软件输出的､采取加密措施的Eng格式数据文件,不属于计算机软件著作权的保护范围,同学们是否可以说一说理由?2.从判决结果看,被告研发能够读取JDPaint软件输出的Eng格式文件的软件的行为,不构成《中华人民共和国著作权法》､《计算机软件保护条例》规定的“故意避开或者破坏著作权人为保护其软件著作权而采取的技术措施”的行为,你认为理由是什么呢?"
17,关于要约 003   老师您好，几天前我看到一个奢侈品牌的英国官网因为网站系统出了问题从而出现商品超低价的情况，后来网站修复问题后就把出现问题期间拍下的超低价订单都取消了。请问如果适用我国的合同法，那这些超低价订单网站能不能取消呢？这跟您在课堂上说的商场里250元价格的衣服错标成150元的结果是否一样呢？
18,安乐死是民主吗？个人民主与社会主义民主的区别在哪里？
19,想问一下，保证增信即交易是什么东西
20,笔者认为，判定区别技术特征是否是公知常识时，需要考虑三个方面：技术特征本身、应用以及技术效果。首先，在衡量技术特征是否常规时，不宜割裂为单个技术特征的判定，而应该将其结合到技术方案中，来判定技术手段是否常规，之后再从实际解决的技术问题出发，判断是否存在技术启示将区别特征应用到最接近的现有技术，并考虑取得的效果能否被本领域技术人员所预期。（来源于 吴洁  中国知识产权报）对此观点，你有什么看法？
21,医疗侵权责任的主体  百度过《侵权责任法》，患者在诊疗活动中受到损害，医疗机构及其医务人员有过错的，由医疗机构承担医疗损害赔偿责任，那为什么我选了医疗机构作为医疗侵权责任的承担主体是错的？
22,关于要约 004   有一道合同法的题目询问商品价格根据交易习惯，一般认为是（ ）选项有要约邀请、要约、反要约、承诺答案选择了要约。我的疑问是询问价格只是购买的先行为，不能认定对方回答了价格就相当于做出了承诺，合同即生效，是否购买可能还需要考虑，接受这个价格也需要询问者给出答复会做出行为，且双方都未受到约束，那么为什么要将其认定为要约呢？
23,个人信息被侵犯消费者该如何维权    在日常生活中经常会接到一些莫名其妙的推销电话，在网络购物等消费活动中常常被要求提供联系方式，虽然知道自己的个人信息被侵犯了，但不知道究竟是谁将信息提供给第三方，因此维权也很困难，在这种情况下该怎么办？
24,这个不公平管辖条款应无效！？ “如本案中，双方一旦约定仲裁解决纠纷，法院就没有了管辖权。”这种说法有严重问题。据《民事诉讼法》第23条，第123条，《仲裁法》第20条，《合同法》第39条、40条、合同法司法解释二第10条、《消费者权益保护法》第26条，陈先生可向二审法院提起上诉，主张该管辖条款加重消费者负担“不公平、不合理”且未采取合理方式提起消费者注意而无效。根据《侵害消费者权益行为处罚办法》第十二条，陈先生还同时可以向北京市工商部门举报，要求其进行查处。
25,大规模产品责任损害消费者求偿难如何解决？   在发生大规模产品责任损害的情况下，企业破产了，消费者尚未得到完全赔偿的，当如何处理？你怎么看？
26,营商环境   视频中提到营商环境包括市场、政务、社会、法治环境 虽然说视频中的老师提到其认为法治环境是最重要的，但是其实应该都是相互辅助的地位缺一不可的吧？
27,或者说直接在纠纷中进行经济效率的解释，符合社会经济发展规律或经济效率的，则为善法。这样造成的后果却是“无法无天”了。
28,刑事诉讼法  辩护律师的职责中收集到有利于犯罪嫌疑人的证据，均应及时告知公安机关、检察院为什么不对？
29,请问谁的法律效力更大？    老师您好，如果刑法修正案和刑法的司法解释起冲突，请问谁的法律效力更大？
30,刚果案    上世纪80年代，刚果向南斯拉夫一家公司借款以发展自身水电项目，后无法履行协议，经仲裁需赔付。美国对冲基金FG Hemisphere Associates LLC作为一家专门收购垃圾债权的秃鹫公司以低价收购了南斯拉夫对刚果的债权。之后，中国国有企业——中铁股份有限公司及其三家子公司获得了在刚果的采矿权，按协议需向刚果支付高达2.2亿元的入场费。美国FG公司于2008年向香港高等法院起诉申请执行仲裁裁决，要求以我国国有公司的入场费抵债。刚果政府主张其作为独立的主权国家，理应享受中国绝对豁免待遇，不应受香港政府司法管辖 ，更不应还债。08年底，高等法院作出一项判决，判决刚果享有豁免权，不须赔付。美国公司上诉，2010年2月上诉庭作出判决，认为香港实行的是源于英国的普通法传统，实行相对豁免，因而判决刚果应当偿还。刚果不服，上诉至终审法院，终审法院发布判决书，判词指终审法院已于2011年6月接受上诉，并决定提请全国人大常委会对基本法进行释法，解释香港基本法关于国家豁免的第十三条第一款和第十九条。全国人大常委会于2011年8月开会审议通过了香港基本法第十三条第一款和第十九条的解释，解释指出香港应给予刚果绝对的外交豁免权。根据全国人大常委会的释法，香港终审法院于2011年9月8日发布了最终判决，指出根据释法结果，香港法院对于刚果案并无管辖权，并指出释法在香港特区所有法院均具效力。问题：1、香港与中国大陆关于国家豁免权的规定有何不同？2、本案的焦点在哪？3、假设我国国有公司与美国FG公司的角色对调，我国为收购债券的秃鹫公司而美国公司为理应支付入场费的公司，中国政府、立法机关对该案的态度是否会发生转变，主张香港法院理应坚持相对豁免？4、中国国有企业与国家的关系？
31,共同犯罪的犯罪构成  到底应该以哪个共同说为主处理案件？感觉每个都有弊端与漏洞。
32,关于民事纠纷的四个特征问题。 老师，是否可以理解，在民事纠纷的四个特征中，只有权利的可处分性是民事纠纷特有的，而其他三个特征（主体的平等性、内容的特定性和可平息性）在行政纠纷和刑事纠纷也都有体现？
33,不告不理   在民事案件中原告没有起诉的内容，法官是否可以去审理、并作出相应判决？相应原因的法律依据是什么？
34,著作权是否是含有保护期限不受时间限制的知识产权
35,超市工作人员是否有权搜身   李某在超市购物后走到门口警报器响起，安保人员挡住其去路，超市工作人员是否有权利检查对李某的口袋进行检查？
36,重大误解释义 027 重大误解，是指行为人由于自己的过失而对其行为后果产生错误认识。“错误认识”有单纯动机错误和表示错误。我们在实际的司法实践中是否需要考虑这两种情况的错误认识，在赔偿损失的时候有个标准区分，还是说一棒子打死，不考虑，只要构是认识错误，都一样。
37,不仅是这一综艺，还有《我和我的经纪人》《中餐厅》等综艺均被质疑抄袭韩国综艺，对此，您有什么看法？
38,人工智能生成的诗集能否享有著作权?  2017年5月19日，微软和湛庐文化合作推出了“小冰”原创诗集《阳光失了玻璃窗》，这是人类历史上第一部100%由人工智能创作的诗集。目前，人工智能逐渐进入绘画、音乐、游戏、新闻写作等领域。请问，“小冰”能成为作者吗？其诗集《阳光失了玻璃窗》能否受到著作权保护？
39,擅自使用小说有声读物被判侵权 近日，北京市海淀区人民法院对原告唐某某与被告网乐互联（北京）科技有限公司（下称网乐互联公司）侵犯作品信息网络传播权纠纷一案作出判决，判令网乐互联公司赔偿唐某某经济损失及合理开支4.7万余元。唐某某向法院起诉称，其为小说《二把手》的作者，网乐互联公司为“听伴”网站的运营方，未经其许可，在“听伴”网站提供了小说《二把手》的有声读物，侵犯了其对小说《二把手》享有的信息网络传播权。庭审过程中，网乐互联公司认为唐某某虽为小说《二把手》的作者，但并非小说《二把手》有声读物的作者，否认其使用小说《二把手》有声读物的行为侵犯了唐某某对小说《二把手》享有的信息网络传播权。法院审理后认为，小说《二把手》的有声读物是朗读小说《二把手》录制而成的，该有声读物通过声音的形式完整展现了小说《二把手》的内容，网乐互联公司传播这一有声读物属于对小说《二把手》内容的传播，虽然唐某某并非本案中有声读物的制作者，但其作为小说《二把手》的作者有权以自己的名义对他人未经许可传播小说有声读物的行为进行维权。网乐互联公司在其运营的网站中提供了该小说的有声读物，使公众可以在其个人选定的时间和地点获得该小说，故侵犯了唐某某对该小说享有的信息网络传播权，应当对其侵权行为承担相应的法律责任。法院据此作出一审判决，目前该案仍在上诉期内。目前常见的有声读物一般有如下两种：一是对原作品的简单朗读；二是在朗读过程中对原作品进行了文字加工、选择和编排，有的还加入了音效、背景音乐等创造性劳动。实践中，原作品的作者一般不会是有声读物的制作者，此种情况下，原作品作者是否有权对擅自使用小说有声读物的行为提起诉讼？
40,请问什么是以同等条件优先受让？    在委托发明与共同发明处有提到
41,搜查见证人  侦查人员在搜查时，只有家属在场，没有其他见证人在场是否正确？
42,应如何解释法律规定？ 法律规定的解释要遵循什么样的原则或规则？
43,你是否记得当年的U盘专利之争？    很少人意识到，“U盘”并不是一个产品名称，而只是一个公司注册的闪存盘商标，这就是发明世界上第一款闪存盘、因此荣获闪存盘全球基础性发明专利的公司——朗科科技。
44,如何处理法律价值间的冲突
45,关于提起管辖权异议  书上提到“提出管辖权异议的主体必须是本案的当事人，通常是被告。原告是主动提起诉讼，说明受诉法院是原告自己选择的，因而原告不能再对案件的管辖权提出异议。”这句话是否是错的？原告是否也可以提起管辖权异议？
46,关于职业索赔人    最初的一些所谓职业打假人是为了遏制假商家，但随着时间推移，部分打假人利用法律法规漏洞，或是商家对政策条文信息获取的不及时，谋取个人私立，变得更像是“职业索赔人”了。他们往往会抓住一些小问题，再利用一些赔偿条例以期获得更多赔偿，并且有一些已经形成了集团化作业。他们通过零售终端寻找目标进而向商家索赔，再通过政府信息公开方式获得产品的基本信息，向各个相关政府部门提起投诉举报，然后根据政府部门复函向企业索赔或向法院起诉，手段往往卑劣毫无原则。法律该如何制止这种行为呢？
47,热案五    微信朋友圈发布信息是否属于专利法意义上的公开？罗奎系“门花（铸铝艺术-2）”的外观设计专利权人，兴宇厂、司贝宁公司制造、销售的产品涉嫌侵害罗奎的专利权。罗奎提交了专利复审委员会作出的《无效宣告请求审查决定书》，该决定书认为，在朋友圈发布的图片不构成专利法意义上的公开，不能作为涉案专利的现有设计。但是，法院判决认为，微信朋友圈使用范围和用途的不断扩展，越来越多的人把微信朋友圈当作进行产品营销活动的重要途径，客观上部分微信朋友圈已经兼具了营销的功能，甚至出现了微商群体。本案中微信用户在涉案朋友圈发布图片的时间均早于涉案专利的申请日，被诉侵权设计与涉案朋友圈中发布的图片所载设计无实质性差异，故不构成专利侵权。您认为：对于微信朋友圈中的公开是否属于专利法意义上的公开？微信朋友圈中的信息能否作为现有技术或现有设计抗辩的比对依据？
48,关于仲裁协议 老师您好，请问与商家拟定仲裁协议所需的条件是什么？如果对方拒绝拟定仲裁协议该怎么办呢
49,政治与哲学的冲突   当今世界是否仍然存在政治与哲学的冲突？可以体现在哪些方面？
50,玛丽继承的财产应为其本人财产。    玛丽父亲立遗嘱将房产归女儿所有，并没有规定给女儿家庭所有，这是明确指定其遗产由女儿个人来继承，法院判决玛丽丈夫由一半产权，是错误的。
51,独占实施权  独占实施权在发明、实用新型和外观设计中的具体内容有何异同？原因何在？
52,最高人民法院发布司法解释 全面施行技术调查官制度         为贯彻落实中办、国办《关于加强知识产权审判领域改革创新若干问题的意见》，充分发挥技术调查官对有效查明技术事实，提高知识产权审判质量效率的积极作用，2019年1月28日，最高人民法院审判委员会第1760次会议通过了《最高人民法院关于技术调查官参与知识产权案件诉讼活动的若干规定》。根据《规定》，在审理技术类知识产权案件的人民法院将施行技术调查官制度。《规定》将于2019年5月1日施行。《规定》共15条，以北京、上海、广州知识产权法院近年来开展技术调查官制度试点工作取得的经验为基础，明确了技术调查官作为审判辅助人员的身份定位，对技术调查官参与知识产权案件诉讼活动的程序、职责、效力、法律责任等方面作出规定。《规定》明确，人民法院在审理专利、植物新品种、集成电路布图设计、技术秘密、计算机软件、垄断等专业技术性较强的知识产权案件时，可以指派技术调查官参与诉讼活动。参与诉讼活动的技术调查官应当参照刑事诉讼法、民事诉讼法、行政诉讼法有关其他人员回避的规定适用回避制度。《规定》根据知识产权案件审理特点，针对庭前准备、调查取证、勘验保全、庭审、评议等审判流程的各主要环节，对技术调查官参与诉讼活动的具体工作职责、程序给出指引。关于技术调查意见的效力，《规定》强调，技术调查意见可以作为合议庭认定技术事实的参考，由合议庭对技术事实的认定依法承担责任。为强化技术调查官的责任，《规定》对技术调查官故意出具不实技术调查意见的责任追究也作出相关规定。
53,关于保险法第二节课堂讨论的疑问    老师，那个保险只保险一年呀，为什么要承担损失呢？我看了大家的解析还是不很理解，请教教我！谢谢！
54,论法官知法原则在商标行政纠纷中的适用 法官知法原则作为近现代民事诉讼法上一项隐形的基本原则，在法律释明与适用等制度建构中发挥着重要影响。商标行政机关居中裁判、行政诉讼全面审查原则以及现行商标法各条文之间适用界限的不明确性，决定了法官知法原则具有较大的适用空间。应当在考虑公共利益与私权划分理论的基础上，对商标异议和无效的事由作类型化区分，并据此对裁判者主动释明和援引的权力及义务作类型化处理。（作者：尹腊梅）
55,请大家帮茶颜悦色保护知识产权支招！          茶颜悦色是长沙最受年轻人追捧的本土网红消费品牌。从2014年在黄兴广场的第一家门店开始，到当下在长沙的购物中心每走100米就有3家分店，茶颜悦色用它新鲜的概念，浓郁的中国风，征服了无数年轻人的味蕾。不过，人红是非多，近日，“留学生抢注茶颜悦色商标”迅速登上了热搜，引发广泛热议。对此，茶颜悦色官方回应表示，“关于赴韩留学生抢注茶颜悦色韩国商标一事我们已经知悉，对方此行为合法，我们无权干涉。很抱歉我们此前在商标保护上做得不够，造成很多事留有遗憾，也非常谢谢有粉丝的提醒和维护。但是包括一些国内近似品牌，对我们在品牌形象上进行抄袭的行为，我们保留追诉权。原创不易，望大家有尊重之心。”此事一出，网友们都议论纷纷，有对抢注商标的行为表示谴责的，也有提醒茶颜悦色重视商标等知识产权保护的。各位学员，也请谈谈你的建议，帮茶颜悦色合法维权支招！
56,调审分离的运用    老师您好！目前一些法院尝试调审分离，由调解员专门负责调解，法官专门负责审理，确实减少了法官的工作量，很多案件还没到审理阶段就结案了，是不是应该将调审分离写入诉讼法，全国普及规范
57,您认为提高著作权法定赔偿上限是否可取？
58,处分原则与辩论原则的区分   我想问一下，如何判断法院的裁判违反的是处分原则还是辩论原则？
59,我国的审判当事人总是要上诉，但英美法三审终审却一审就少有上诉
60,老师，请问罪刑法定原则中的“禁止事后法”，与从旧兼从轻冲突么
61,如何看待同人作品的性质？   著作权法对文学作品有很多分类，但没有一种叫“同人作品”的，所以同人作品不是著作权法上的概念。它虽然使用了原作的剧情和人物来创作，但还有自己的创新和变化，所以问题的关键在于在著作权法上如何去界定这一类作品到底是合理借鉴，还是构成剽窃。如果只是使用了原作人物的名字，从法律意义上来讲很难构成侵权。因为著作权法保护的是作品的主要内容，人物的名字和作品的名字都是不受保护的。如果使用原作名字和相似的内容，那么就涉嫌侵权。还有一种情况，新作使用了原作名字，内容并没有照搬原作，而是根据人物的身份和原有情节作了自己的想象，这种介于“仅使用名字”和“照搬原作情节”中间的情况，是需要特别关注的。法律在保护版权方面，注重的是作品的形式和内容，只对内容和形式进行比对的方法，可能会让一些人在剽窃上有机可乘。有时候完全借鉴原作思路，只是换了表述方式，我们用传统的侵权比对形式来鉴定，就不太科学了。但著作权法也在发展，比如在琼瑶诉于正案中，尽管两个作品的表达方式不一样，但人物设定、人物关系等，实际上是能看出来于正作品的构思存在大量借用，以至于没有了独创性，所以他还是被判定侵权。所以当读者通过阅读，可以感受出对原作大量的模仿或照搬时，表达方式无论是否一样都可能构成侵权。
62,商业秘密与专利    一项技术发明到底是采用申请专利保护好，还是作为商业秘密保护好？企业在选择保护路径时需要考虑哪些因素
63,实证法认为法外无法，法律是至高无上的，即使是恶法，人民的反抗也只能在暴力推翻政权后才能发挥作用。
64,你是如何理解无权处分的？法律为什么要规定无权处分   请结合页面法律规定、老师讲解和参考资料，尝试说一说表什么是无权处分，法律规定无权处分的意义是什么？买卖合同卖方无权处分的效力如何，法院如何处理？最好举例加以说明。
65,讨论题1   1. 我国婚姻法、妇女权益保障法、人口与计划生育法、婚姻法司法解释三关于生育权的规定是什么？在我国生育权纠纷频发，结合司法实践关于生育权纠纷案例，学术界关于生育权性质、生育权冲突解决的原则等理论研究成果，谈谈你对生育权的认识，并论证未来民法典婚姻家庭编夫妻人身关系中是否要将生育权作为夫妻人身权利？
66,请你从消费者保护法的角度说一说：如何规范小米等智能电视在开机和关机画面植入广告？这个问题还可以推广到所有具有操作系统更新功能的网络化消费品。
67,你觉得合同法第36条和第37条的规定是否合理？    第三十六条　【书面合同与合同成立】法律、行政法规规定或者当事人约定采用书面形式订立合同，当事人未采用书面形式但一方已经履行主要义务，对方接受的，该合同成立。
68,6. 我国司法实践对信用证欺诈例外的态度如何？我国法院对待信用证欺诈一是维护信用证独立原则；二是允许欺诈例外，但是持谨慎态度。（1）严格审查单据是否有欺诈。若受益人提交的单据属于伪造，或受益人提交的单据具有欺诈的内容，可以认定为存在欺诈。（5分）（2）审查受益人是否参与或知悉欺诈。只要汇票人或受益人没有参与也不明知欺诈，开证行或议付行货其他有关付款行仍负有付款义务。（5分）（3）保护善意第三人。在确认欺诈成立之后，法院将严格判明禁付信用证下货款是否损害善意第三人，是否超出国际惯例。（5分）（4）对象信用证欺诈要正确划分其刑事与民事责任。刑事诈骗是指可以构成诈骗罪之欺诈，具有较强社会危害性；民事欺诈则是民事违法。（5分）
69,如何定位体育赛事直播节目的法律性质？ 中国版权协会版权监测中心针对足球类、篮球类、乒乓球类、格斗搏击类、综合赛事等共计546场赛事，进行了不同场次、不同方式的监测，在直播方面，共监测到4633个未授权播放链接；在点播方面，共监测到62.31万余个侵权链接。在所有赛事的未授权直播流链接中，直播秀平台链接占比超过50%。
70,我想问一下，现在比较多见的粉丝后援会是否可以成为原告？    粉丝后援会大部分具有明确的组织结构，并且有一定的经济纠纷，可不可以等同于社会组织提起单独的诉讼？
71,西湖音乐喷泉属于著作权法上的哪种作品？
72,最密切联系法律选择习题    老师您好，第一题和第二道题情况一样，为什么答案不一样呢？
73,无独立请求权的第三人的诉讼地位    无独立请求权的第三人可以承认对方的诉讼请求吗？书上写的不可以。但是老师在上课的时候举的销售者和生产者的例子，说生产者可以承认消费者的诉讼请求，最后由他来买单，所以无独立请求权的第三人可以承认对方的诉讼请求。那是书上写错了吗？
74,法院有无权力将当事人拒之门外？
75,人身保险合同复效   老师您好，请问视频中提到人身保险合同复效须补交失效期间所欠保险费及其利息，那么如果我重新投保，投保内容跟失效合同一致，那我是否可以省去缴纳上述金额，是否更加划算？这样子做合法吗？
76,讨论题2   2. 王某是一个企业家在婚姻关系存续期间，利用职位之便，与本公司职工宋某婚外同居，后王某的妻子知道后，王某不得已与宋某分手，分手时双方签了分手补偿协议，并按协议支付宋某10万元，王某病故后，其妻手持协议，起诉要求宋某返还10万元。问有配偶者与他人同居，所签的分手补偿协议的性质、效力？
77,视觉中国版权事件使版权行业再次成为全社会关注的焦点。4月26日世界版权日即将到来，一些屡遭侵权的文创企业的维权大潮即将再起。
78,你最关注的不公平格式条款问题是什么？ 在你的日常生活消费过程中，你最关注的不公平格式条款问题是什么？
79,未注册商标能否受法律保护？  长期使用但尚未注册的商标在我国能否受到法律保护？应受到何种法律保护？
80,关于不安抗辩权    老师好，看完合同法第68条后，我想请问一下第二款行为人”转移财产、抽逃资金，以逃避债务“和第三款“丧失商业信誉”是否重复呢？如果表意重复，为甚么要单列出一款呢？ 谢谢
81,法律与道德之间的界限如何划分？    富勒认为：法律内含着道德与伦理的要求。而当今世界各国的法律都多多少少内含有符合当地的道德内容，我国民法就规定了诚实信用原则、公序良俗原则等，一部法律需要有道德内容的体现，没有道德内容的法律就如一部没有生命的机器，可能会引发各种社会问题。
82,合同的形式  当事人订立合同，有书面形式、口头形式和其他形式。法律、行政法规规定采用书面形式的，应当采用书面形式。当事人约定采用书面形式的，应当采用书面形式。
83,外国人属于相对不能担任辩护人，但是如果是被告近亲属是可以担任辩护人的啊？
84,关于中国法和西方法的区别   课程里面从语言方面看中国法主观性更重一点，而西方逻辑更严密，体系健全。如果从社会构成角度，是否中国为农业社会，“家”文化重，即父权（权威）更重，并且是人情社会，善恶标准因而较主观；而西方则从城邦发展，注重全民利益，加之商业发达，对语言逻辑的需求更重，因而体系健全，逻辑严密？
85,如何理解修改权？听听专家怎么说！          对于我国著作权法中修改权的含义，理论界和实务界一直存在争议，当前主要流行的两种解释是“一权两面说”和“轻重有别说”，，根据这两种解释，修改权的单列没有必要。我国著作权法第三次修订草案送审稿删除了修改权，并试图以重新定义后的保护作品完整权涵盖修改权，也主要是受到这两种学说的影响。李琛教授认为任何权利独立的基本依据，皆在于其具有独立的利益内容。著作人格权制度是以“作品反映作者人格”为预设的，保护作品完整权旨在保持作品与作者人格的一致性，保护作者“表达不变之自由”。同理，作者也有“变之自由”，若作者的思想观点发生重大变化，就有更改其作品的利益诉求。修改权保护的是“变之自由”，对应的义务是“尊重且不得妨害作者对作品的修改”；保护作品完整权保护的是“不变之自由”，对应的义务是“未经作者许可不得擅自改动作品”。因此，从利益分析来看，修改权具有区别于保护作品完整权的独立利益基础。套用“一权两面说”的表述：修改权的“反面”是“禁止他人妨害作者的修改”。“一权两面说”把修改权的“反面”错误地表述为“禁止他人修改”，所以混淆了修改权与保护作品完整权。（来源于  李琛  中国知识产权报）李教授的观点你是否赞同？
86,市场监管总局召开餐饮服务食品安全监管工作座谈会    市场监管总局召开餐饮服务食品安全监管工作座谈会，要求对性质恶劣，造成严重不良影响的餐饮企业从严从重处罚。
87,如果想要设立良好、精当的的管辖制度需要注意哪些方面？
88,但因为现在许多代购都是在微信上进行交易的，而微信是有付款和收款两个步骤的，所以我感觉在微信上卖方收款这个动作更像是承诺，而邮寄化妆品更像是对合同的履行。所以请问在上诉这种情况下能不能是：陈某付款购买化妆品是要约，而刘某收款是承诺呢？
89,谁是消费者  到底怎样区分消费者？暑假旅游乘车的张某，为公司向另一公司购买原材料的钱某，购买种子的农民，大排档就餐的人，这些谁是消费者
90,4.1 没有签合同，就可以不赔偿了吗？    北京的佩佩公司欲采购一大批卡车， 选定了浙江的奇奇公司并邀请奇奇公司向其报价，佩佩公司对其报价发邮件表示认可，并回复：“请4月10日到北京签订书面合同。”发完邮件后的第2天，佩佩公司又得知位于天津的乔乔公司价格更优惠且有现货，于是想着跟奇奇公司反正还没签合同，也无所谓违约，到时候通知他们一声就行。基于这样的考虑，佩佩公司很快与乔乔公司签订了合同并进行了提货。4月9日，奇奇公司一行4人坐飞机提前1天到达北京，住一晚后4月10日一早赶往佩佩公司，此时佩佩公司才发觉忘了通知B公司，连忙道歉但表示没办法签约。奇奇公司一行人非常生气，表示佩佩公司必须赔偿，佩佩公司却表示：“我们又没有签合同，凭什么赔你们？ 所以，没有签合同的情况下，奇奇公司能不能要求赔偿？为什么？
91,强制性法规   为什么会有强制性法规，主要有那些？
92,刑事诉讼的基本原则有哪些是独有原则呢？
93,艺名被公司注册为商标，解约后，能否继续使用  蜂鸟公司将邓紫棋、G.E.M两个名字作为商标登记，之后邓紫棋与其解约。自己的名字被公司注册，解约后难道就不能使用自己的艺名了嘛？
94,法无禁止即可为    法无禁止即可为的度的衡量
95,讨论：评析我国侦查羁押期限延长制度
96,这里有一个疑问？视觉中国授权图片的行为合法吗？他有这些图片的版权吗？
